  1  | 04:00 | 05:51 | 13:09 |  16:47  | 20:26 | 22:18 
  2  | 03:59 | 05:51 | 13:09 |  16:48  | 20:27 | 22:19 
  3  | 03:59 | 05:51 | 13:09 |  16:49  | 20:28 | 22:21 
  4  | 03:58 | 05:51 | 13:10 |  16:49  | 20:29 | 22:22 
  5  | 03:58 | 05:51 | 13:10 |  16:50  | 20:30 | 22:23 
  6  | 03:57 | 05:51 | 13:11 |  16:51  | 20:31 | 22:24 
  7  | 03:57 | 05:51 | 13:11 |  16:51  | 20:32 | 22:25 
  8  | 03:57 | 05:51 | 13:11 |  16:52  | 20:32 | 22:27 
  9  | 03:57 | 05:51 | 13:12 |  16:53  | 20:33 | 22:28 
 10  | 03:56 | 05:51 | 13:12 |  16:53  | 20:34 | 22:29 
 11  | 03:56 | 05:51 | 13:13 |  16:54  | 20:35 | 22:30 
 12  | 03:56 | 05:51 | 13:13 |  16:54  | 20:36 | 22:31 
 13  | 03:56 | 05:51 | 13:14 |  16:55  | 20:36 | 22:32 
 14  | 03:56 | 05:51 | 13:14 |  16:56  | 20:37 | 22:32 
 15  | 03:56 | 05:52 | 13:15 |  16:56  | 20:38 | 22:33 
 16  | 03:57 | 05:52 | 13:15 |  16:57  | 20:38 | 22:34 
 17  | 03:57 | 05:52 | 13:16 |  16:57  | 20:39 | 22:35 
 18  | 03:57 | 05:53 | 13:16 |  16:58  | 20:40 | 22:35 
 19  | 03:57 | 05:53 | 13:17 |  16:58  | 20:40 | 22:36 
 20  | 03:58 | 05:54 | 13:17 |  16:59  | 20:41 | 22:37 
 21  | 03:58 | 05:54 | 13:18 |  16:59  | 20:41 | 22:37 
 22  | 03:59 | 05:55 | 13:18 |  17:00  | 20:42 | 22:38 
 23  | 03:59 | 05:55 | 13:19 |  17:00  | 20:42 | 22:38 
 24  | 04:00 | 05:56 | 13:19 |  17:01  | 20:43 | 22:38 
 25  | 04:00 | 05:56 | 13:20 |  17:01  | 20:43 | 22:39 
 26  | 04:01 | 05:57 | 13:20 |  17:02  | 20:43 | 22:39 
 27  | 04:02 | 05:57 | 13:21 |  17:02  | 20:44 | 22:39 
 28  | 04:03 | 05:58 | 13:21 |  17:02  | 20:44 | 22:39 
 29  | 04:03 | 05:59 | 13:22 |  17:03  | 20:44 | 22:39 
 30  | 04:04 | 06:00 | 13:22 |  17:03  | 20:44 | 22:39 
 31  | 04:05 | 06:00 | 13:22 |  17:04  | 20:45 | 22:39 
